year,league,url
1901,American League,https://www.baseball-almanac.com/yearly/yr1901a.shtml
1902,American League,https://www.baseball-almanac.com/yearly/yr1902a.shtml
1903,American League,https://www.baseball-almanac.com/yearly/yr1903a.shtml
1904,American League,https://www.baseball-almanac.com/yearly/yr1904a.shtml
1905,American League,https://www.baseball-almanac.com/yearly/yr1905a.shtml
1906,American League,https://www.baseball-almanac.com/yearly/yr1906a.shtml
1907,American League,https://www.baseball-almanac.com/yearly/yr1907a.shtml
1908,American League,https://www.baseball-almanac.com/yearly/yr1908a.shtml
1909,American League,https://www.baseball-almanac.com/yearly/yr1909a.shtml
1910,American League,https://www.baseball-almanac.com/yearly/yr1910a.shtml
1911,American League,https://www.baseball-almanac.com/yearly/yr1911a.shtml
1912,American League,https://www.baseball-almanac.com/yearly/yr1912a.shtml
1913,American League,https://www.baseball-almanac.com/yearly/yr1913a.shtml
1914,American League,https://www.baseball-almanac.com/yearly/yr1914a.shtml
1915,American League,https://www.baseball-almanac.com/yearly/yr1915a.shtml
1916,American League,https://www.baseball-almanac.com/yearly/yr1916a.shtml
1917,American League,https://www.baseball-almanac.com/yearly/yr1917a.shtml
1918,American League,https://www.baseball-almanac.com/yearly/yr1918a.shtml
1919,American League,https://www.baseball-almanac.com/yearly/yr1919a.shtml
1920,American League,https://www.baseball-almanac.com/yearly/yr1920a.shtml
1921,American League,https://www.baseball-almanac.com/yearly/yr1921a.shtml
1922,American League,https://www.baseball-almanac.com/yearly/yr1922a.shtml
1923,American League,https://www.baseball-almanac.com/yearly/yr1923a.shtml
1924,American League,https://www.baseball-almanac.com/yearly/yr1924a.shtml
1925,American League,https://www.baseball-almanac.com/yearly/yr1925a.shtml
1926,American League,https://www.baseball-almanac.com/yearly/yr1926a.shtml
1927,American League,https://www.baseball-almanac.com/yearly/yr1927a.shtml
1928,American League,https://www.baseball-almanac.com/yearly/yr1928a.shtml
1929,American League,https://www.baseball-almanac.com/yearly/yr1929a.shtml
1930,American League,https://www.baseball-almanac.com/yearly/yr1930a.shtml
1931,American League,https://www.baseball-almanac.com/yearly/yr1931a.shtml
1932,American League,https://www.baseball-almanac.com/yearly/yr1932a.shtml
1933,American League,https://www.baseball-almanac.com/yearly/yr1933a.shtml
1934,American League,https://www.baseball-almanac.com/yearly/yr1934a.shtml
1935,American League,https://www.baseball-almanac.com/yearly/yr1935a.shtml
1936,American League,https://www.baseball-almanac.com/yearly/yr1936a.shtml
1937,American League,https://www.baseball-almanac.com/yearly/yr1937a.shtml
1938,American League,https://www.baseball-almanac.com/yearly/yr1938a.shtml
1939,American League,https://www.baseball-almanac.com/yearly/yr1939a.shtml
1940,American League,https://www.baseball-almanac.com/yearly/yr1940a.shtml
1941,American League,https://www.baseball-almanac.com/yearly/yr1941a.shtml
1942,American League,https://www.baseball-almanac.com/yearly/yr1942a.shtml
1943,American League,https://www.baseball-almanac.com/yearly/yr1943a.shtml
1944,American League,https://www.baseball-almanac.com/yearly/yr1944a.shtml
1945,American League,https://www.baseball-almanac.com/yearly/yr1945a.shtml
1946,American League,https://www.baseball-almanac.com/yearly/yr1946a.shtml
1947,American League,https://www.baseball-almanac.com/yearly/yr1947a.shtml
1948,American League,https://www.baseball-almanac.com/yearly/yr1948a.shtml
1949,American League,https://www.baseball-almanac.com/yearly/yr1949a.shtml
1950,American League,https://www.baseball-almanac.com/yearly/yr1950a.shtml
1951,American League,https://www.baseball-almanac.com/yearly/yr1951a.shtml
1952,American League,https://www.baseball-almanac.com/yearly/yr1952a.shtml
1953,American League,https://www.baseball-almanac.com/yearly/yr1953a.shtml
1954,American League,https://www.baseball-almanac.com/yearly/yr1954a.shtml
1955,American League,https://www.baseball-almanac.com/yearly/yr1955a.shtml
1956,American League,https://www.baseball-almanac.com/yearly/yr1956a.shtml
1957,American League,https://www.baseball-almanac.com/yearly/yr1957a.shtml
1958,American League,https://www.baseball-almanac.com/yearly/yr1958a.shtml
1959,American League,https://www.baseball-almanac.com/yearly/yr1959a.shtml
1960,American League,https://www.baseball-almanac.com/yearly/yr1960a.shtml
1961,American League,https://www.baseball-almanac.com/yearly/yr1961a.shtml
1962,American League,https://www.baseball-almanac.com/yearly/yr1962a.shtml
1963,American League,https://www.baseball-almanac.com/yearly/yr1963a.shtml
1964,American League,https://www.baseball-almanac.com/yearly/yr1964a.shtml
1965,American League,https://www.baseball-almanac.com/yearly/yr1965a.shtml
1966,American League,https://www.baseball-almanac.com/yearly/yr1966a.shtml
1967,American League,https://www.baseball-almanac.com/yearly/yr1967a.shtml
1968,American League,https://www.baseball-almanac.com/yearly/yr1968a.shtml
1969,American League,https://www.baseball-almanac.com/yearly/yr1969a.shtml
1970,American League,https://www.baseball-almanac.com/yearly/yr1970a.shtml
1971,American League,https://www.baseball-almanac.com/yearly/yr1971a.shtml
1972,American League,https://www.baseball-almanac.com/yearly/yr1972a.shtml
1973,American League,https://www.baseball-almanac.com/yearly/yr1973a.shtml
1974,American League,https://www.baseball-almanac.com/yearly/yr1974a.shtml
1975,American League,https://www.baseball-almanac.com/yearly/yr1975a.shtml
1976,American League,https://www.baseball-almanac.com/yearly/yr1976a.shtml
1977,American League,https://www.baseball-almanac.com/yearly/yr1977a.shtml
1978,American League,https://www.baseball-almanac.com/yearly/yr1978a.shtml
1979,American League,https://www.baseball-almanac.com/yearly/yr1979a.shtml
1980,American League,https://www.baseball-almanac.com/yearly/yr1980a.shtml
1981,American League,https://www.baseball-almanac.com/yearly/yr1981a.shtml
1982,American League,https://www.baseball-almanac.com/yearly/yr1982a.shtml
1983,American League,https://www.baseball-almanac.com/yearly/yr1983a.shtml
1984,American League,https://www.baseball-almanac.com/yearly/yr1984a.shtml
1985,American League,https://www.baseball-almanac.com/yearly/yr1985a.shtml
1986,American League,https://www.baseball-almanac.com/yearly/yr1986a.shtml
1987,American League,https://www.baseball-almanac.com/yearly/yr1987a.shtml
1988,American League,https://www.baseball-almanac.com/yearly/yr1988a.shtml
1989,American League,https://www.baseball-almanac.com/yearly/yr1989a.shtml
1990,American League,https://www.baseball-almanac.com/yearly/yr1990a.shtml
1991,American League,https://www.baseball-almanac.com/yearly/yr1991a.shtml
1992,American League,https://www.baseball-almanac.com/yearly/yr1992a.shtml
1993,American League,https://www.baseball-almanac.com/yearly/yr1993a.shtml
1994,American League,https://www.baseball-almanac.com/yearly/yr1994a.shtml
1995,American League,https://www.baseball-almanac.com/yearly/yr1995a.shtml
1996,American League,https://www.baseball-almanac.com/yearly/yr1996a.shtml
1997,American League,https://www.baseball-almanac.com/yearly/yr1997a.shtml
1998,American League,https://www.baseball-almanac.com/yearly/yr1998a.shtml
1999,American League,https://www.baseball-almanac.com/yearly/yr1999a.shtml
2000,American League,https://www.baseball-almanac.com/yearly/yr2000a.shtml
2001,American League,https://www.baseball-almanac.com/yearly/yr2001a.shtml
2002,American League,https://www.baseball-almanac.com/yearly/yr2002a.shtml
2003,American League,https://www.baseball-almanac.com/yearly/yr2003a.shtml
2004,American League,https://www.baseball-almanac.com/yearly/yr2004a.shtml
2005,American League,https://www.baseball-almanac.com/yearly/yr2005a.shtml
2006,American League,https://www.baseball-almanac.com/yearly/yr2006a.shtml
2007,American League,https://www.baseball-almanac.com/yearly/yr2007a.shtml
2008,American League,https://www.baseball-almanac.com/yearly/yr2008a.shtml
2009,American League,https://www.baseball-almanac.com/yearly/yr2009a.shtml
2010,American League,https://www.baseball-almanac.com/yearly/yr2010a.shtml
2011,American League,https://www.baseball-almanac.com/yearly/yr2011a.shtml
2012,American League,https://www.baseball-almanac.com/yearly/yr2012a.shtml
2013,American League,https://www.baseball-almanac.com/yearly/yr2013a.shtml
2014,American League,https://www.baseball-almanac.com/yearly/yr2014a.shtml
2015,American League,https://www.baseball-almanac.com/yearly/yr2015a.shtml
2016,American League,https://www.baseball-almanac.com/yearly/yr2016a.shtml
2017,American League,https://www.baseball-almanac.com/yearly/yr2017a.shtml
2018,American League,https://www.baseball-almanac.com/yearly/yr2018a.shtml
2019,American League,https://www.baseball-almanac.com/yearly/yr2019a.shtml
2020,American League,https://www.baseball-almanac.com/yearly/yr2020a.shtml
2021,American League,https://www.baseball-almanac.com/yearly/yr2021a.shtml
2022,American League,https://www.baseball-almanac.com/yearly/yr2022a.shtml
2023,American League,https://www.baseball-almanac.com/yearly/yr2023a.shtml
2024,American League,https://www.baseball-almanac.com/yearly/yr2024a.shtml
2025,American League,https://www.baseball-almanac.com/yearly/yr2025a.shtml
1876,National League,https://www.baseball-almanac.com/yearly/yr1876n.shtml
1877,National League,https://www.baseball-almanac.com/yearly/yr1877n.shtml
1878,National League,https://www.baseball-almanac.com/yearly/yr1878n.shtml
1879,National League,https://www.baseball-almanac.com/yearly/yr1879n.shtml
1880,National League,https://www.baseball-almanac.com/yearly/yr1880n.shtml
1881,National League,https://www.baseball-almanac.com/yearly/yr1881n.shtml
1882,National League,https://www.baseball-almanac.com/yearly/yr1882n.shtml
1883,National League,https://www.baseball-almanac.com/yearly/yr1883n.shtml
1884,National League,https://www.baseball-almanac.com/yearly/yr1884n.shtml
1885,National League,https://www.baseball-almanac.com/yearly/yr1885n.shtml
1886,National League,https://www.baseball-almanac.com/yearly/yr1886n.shtml
1887,National League,https://www.baseball-almanac.com/yearly/yr1887n.shtml
1888,National League,https://www.baseball-almanac.com/yearly/yr1888n.shtml
1889,National League,https://www.baseball-almanac.com/yearly/yr1889n.shtml
1890,National League,https://www.baseball-almanac.com/yearly/yr1890n.shtml
1891,National League,https://www.baseball-almanac.com/yearly/yr1891n.shtml
1892,National League,https://www.baseball-almanac.com/yearly/yr1892n.shtml
1893,National League,https://www.baseball-almanac.com/yearly/yr1893n.shtml
1894,National League,https://www.baseball-almanac.com/yearly/yr1894n.shtml
1895,National League,https://www.baseball-almanac.com/yearly/yr1895n.shtml
1896,National League,https://www.baseball-almanac.com/yearly/yr1896n.shtml
1897,National League,https://www.baseball-almanac.com/yearly/yr1897n.shtml
1898,National League,https://www.baseball-almanac.com/yearly/yr1898n.shtml
1899,National League,https://www.baseball-almanac.com/yearly/yr1899n.shtml
1900,National League,https://www.baseball-almanac.com/yearly/yr1900n.shtml
1901,National League,https://www.baseball-almanac.com/yearly/yr1901n.shtml
1902,National League,https://www.baseball-almanac.com/yearly/yr1902n.shtml
1903,National League,https://www.baseball-almanac.com/yearly/yr1903n.shtml
1904,National League,https://www.baseball-almanac.com/yearly/yr1904n.shtml
1905,National League,https://www.baseball-almanac.com/yearly/yr1905n.shtml
1906,National League,https://www.baseball-almanac.com/yearly/yr1906n.shtml
1907,National League,https://www.baseball-almanac.com/yearly/yr1907n.shtml
1908,National League,https://www.baseball-almanac.com/yearly/yr1908n.shtml
1909,National League,https://www.baseball-almanac.com/yearly/yr1909n.shtml
1910,National League,https://www.baseball-almanac.com/yearly/yr1910n.shtml
1911,National League,https://www.baseball-almanac.com/yearly/yr1911n.shtml
1912,National League,https://www.baseball-almanac.com/yearly/yr1912n.shtml
1913,National League,https://www.baseball-almanac.com/yearly/yr1913n.shtml
1914,National League,https://www.baseball-almanac.com/yearly/yr1914n.shtml
1915,National League,https://www.baseball-almanac.com/yearly/yr1915n.shtml
1916,National League,https://www.baseball-almanac.com/yearly/yr1916n.shtml
1917,National League,https://www.baseball-almanac.com/yearly/yr1917n.shtml
1918,National League,https://www.baseball-almanac.com/yearly/yr1918n.shtml
1919,National League,https://www.baseball-almanac.com/yearly/yr1919n.shtml
1920,National League,https://www.baseball-almanac.com/yearly/yr1920n.shtml
1921,National League,https://www.baseball-almanac.com/yearly/yr1921n.shtml
1922,National League,https://www.baseball-almanac.com/yearly/yr1922n.shtml
1923,National League,https://www.baseball-almanac.com/yearly/yr1923n.shtml
1924,National League,https://www.baseball-almanac.com/yearly/yr1924n.shtml
1925,National League,https://www.baseball-almanac.com/yearly/yr1925n.shtml
1926,National League,https://www.baseball-almanac.com/yearly/yr1926n.shtml
1927,National League,https://www.baseball-almanac.com/yearly/yr1927n.shtml
1928,National League,https://www.baseball-almanac.com/yearly/yr1928n.shtml
1929,National League,https://www.baseball-almanac.com/yearly/yr1929n.shtml
1930,National League,https://www.baseball-almanac.com/yearly/yr1930n.shtml
1931,National League,https://www.baseball-almanac.com/yearly/yr1931n.shtml
1932,National League,https://www.baseball-almanac.com/yearly/yr1932n.shtml
1933,National League,https://www.baseball-almanac.com/yearly/yr1933n.shtml
1934,National League,https://www.baseball-almanac.com/yearly/yr1934n.shtml
1935,National League,https://www.baseball-almanac.com/yearly/yr1935n.shtml
1936,National League,https://www.baseball-almanac.com/yearly/yr1936n.shtml
1937,National League,https://www.baseball-almanac.com/yearly/yr1937n.shtml
1938,National League,https://www.baseball-almanac.com/yearly/yr1938n.shtml
1939,National League,https://www.baseball-almanac.com/yearly/yr1939n.shtml
1940,National League,https://www.baseball-almanac.com/yearly/yr1940n.shtml
1941,National League,https://www.baseball-almanac.com/yearly/yr1941n.shtml
1942,National League,https://www.baseball-almanac.com/yearly/yr1942n.shtml
1943,National League,https://www.baseball-almanac.com/yearly/yr1943n.shtml
1944,National League,https://www.baseball-almanac.com/yearly/yr1944n.shtml
1945,National League,https://www.baseball-almanac.com/yearly/yr1945n.shtml
1946,National League,https://www.baseball-almanac.com/yearly/yr1946n.shtml
1947,National League,https://www.baseball-almanac.com/yearly/yr1947n.shtml
1948,National League,https://www.baseball-almanac.com/yearly/yr1948n.shtml
1949,National League,https://www.baseball-almanac.com/yearly/yr1949n.shtml
1950,National League,https://www.baseball-almanac.com/yearly/yr1950n.shtml
1951,National League,https://www.baseball-almanac.com/yearly/yr1951n.shtml
1952,National League,https://www.baseball-almanac.com/yearly/yr1952n.shtml
1953,National League,https://www.baseball-almanac.com/yearly/yr1953n.shtml
1954,National League,https://www.baseball-almanac.com/yearly/yr1954n.shtml
1955,National League,https://www.baseball-almanac.com/yearly/yr1955n.shtml
1956,National League,https://www.baseball-almanac.com/yearly/yr1956n.shtml
1957,National League,https://www.baseball-almanac.com/yearly/yr1957n.shtml
1958,National League,https://www.baseball-almanac.com/yearly/yr1958n.shtml
1959,National League,https://www.baseball-almanac.com/yearly/yr1959n.shtml
1960,National League,https://www.baseball-almanac.com/yearly/yr1960n.shtml
1961,National League,https://www.baseball-almanac.com/yearly/yr1961n.shtml
1962,National League,https://www.baseball-almanac.com/yearly/yr1962n.shtml
1963,National League,https://www.baseball-almanac.com/yearly/yr1963n.shtml
1964,National League,https://www.baseball-almanac.com/yearly/yr1964n.shtml
1965,National League,https://www.baseball-almanac.com/yearly/yr1965n.shtml
1966,National League,https://www.baseball-almanac.com/yearly/yr1966n.shtml
1967,National League,https://www.baseball-almanac.com/yearly/yr1967n.shtml
1968,National League,https://www.baseball-almanac.com/yearly/yr1968n.shtml
1969,National League,https://www.baseball-almanac.com/yearly/yr1969n.shtml
1970,National League,https://www.baseball-almanac.com/yearly/yr1970n.shtml
1971,National League,https://www.baseball-almanac.com/yearly/yr1971n.shtml
1972,National League,https://www.baseball-almanac.com/yearly/yr1972n.shtml
1973,National League,https://www.baseball-almanac.com/yearly/yr1973n.shtml
1974,National League,https://www.baseball-almanac.com/yearly/yr1974n.shtml
1975,National League,https://www.baseball-almanac.com/yearly/yr1975n.shtml
1976,National League,https://www.baseball-almanac.com/yearly/yr1976n.shtml
1977,National League,https://www.baseball-almanac.com/yearly/yr1977n.shtml
1978,National League,https://www.baseball-almanac.com/yearly/yr1978n.shtml
1979,National League,https://www.baseball-almanac.com/yearly/yr1979n.shtml
1980,National League,https://www.baseball-almanac.com/yearly/yr1980n.shtml
1981,National League,https://www.baseball-almanac.com/yearly/yr1981n.shtml
1982,National League,https://www.baseball-almanac.com/yearly/yr1982n.shtml
1983,National League,https://www.baseball-almanac.com/yearly/yr1983n.shtml
1984,National League,https://www.baseball-almanac.com/yearly/yr1984n.shtml
1985,National League,https://www.baseball-almanac.com/yearly/yr1985n.shtml
1986,National League,https://www.baseball-almanac.com/yearly/yr1986n.shtml
1987,National League,https://www.baseball-almanac.com/yearly/yr1987n.shtml
1988,National League,https://www.baseball-almanac.com/yearly/yr1988n.shtml
1989,National League,https://www.baseball-almanac.com/yearly/yr1989n.shtml
1990,National League,https://www.baseball-almanac.com/yearly/yr1990n.shtml
1991,National League,https://www.baseball-almanac.com/yearly/yr1991n.shtml
1992,National League,https://www.baseball-almanac.com/yearly/yr1992n.shtml
1993,National League,https://www.baseball-almanac.com/yearly/yr1993n.shtml
1994,National League,https://www.baseball-almanac.com/yearly/yr1994n.shtml
1995,National League,https://www.baseball-almanac.com/yearly/yr1995n.shtml
1996,National League,https://www.baseball-almanac.com/yearly/yr1996n.shtml
1997,National League,https://www.baseball-almanac.com/yearly/yr1997n.shtml
1998,National League,https://www.baseball-almanac.com/yearly/yr1998n.shtml
1999,National League,https://www.baseball-almanac.com/yearly/yr1999n.shtml
2000,National League,https://www.baseball-almanac.com/yearly/yr2000n.shtml
2001,National League,https://www.baseball-almanac.com/yearly/yr2001n.shtml
2002,National League,https://www.baseball-almanac.com/yearly/yr2002n.shtml
2003,National League,https://www.baseball-almanac.com/yearly/yr2003n.shtml
2004,National League,https://www.baseball-almanac.com/yearly/yr2004n.shtml
2005,National League,https://www.baseball-almanac.com/yearly/yr2005n.shtml
2006,National League,https://www.baseball-almanac.com/yearly/yr2006n.shtml
2007,National League,https://www.baseball-almanac.com/yearly/yr2007n.shtml
2008,National League,https://www.baseball-almanac.com/yearly/yr2008n.shtml
2009,National League,https://www.baseball-almanac.com/yearly/yr2009n.shtml
2010,National League,https://www.baseball-almanac.com/yearly/yr2010n.shtml
2011,National League,https://www.baseball-almanac.com/yearly/yr2011n.shtml
2012,National League,https://www.baseball-almanac.com/yearly/yr2012n.shtml
2013,National League,https://www.baseball-almanac.com/yearly/yr2013n.shtml
2014,National League,https://www.baseball-almanac.com/yearly/yr2014n.shtml
2015,National League,https://www.baseball-almanac.com/yearly/yr2015n.shtml
2016,National League,https://www.baseball-almanac.com/yearly/yr2016n.shtml
2017,National League,https://www.baseball-almanac.com/yearly/yr2017n.shtml
2018,National League,https://www.baseball-almanac.com/yearly/yr2018n.shtml
2019,National League,https://www.baseball-almanac.com/yearly/yr2019n.shtml
2020,National League,https://www.baseball-almanac.com/yearly/yr2020n.shtml
2021,National League,https://www.baseball-almanac.com/yearly/yr2021n.shtml
2022,National League,https://www.baseball-almanac.com/yearly/yr2022n.shtml
2023,National League,https://www.baseball-almanac.com/yearly/yr2023n.shtml
2024,National League,https://www.baseball-almanac.com/yearly/yr2024n.shtml
2025,National League,https://www.baseball-almanac.com/yearly/yr2025n.shtml
